STT,doc_id,so_hieu,loai_van_ban,tieu_de,nam_ban_hanh
332,96120,98/2015/qh13,luat,luật quân nhân chuyên nghiệp công nhân và viên chức quốc phòng,2015
333,70804,82/2015/qh13,luat,luật tài nguyên môi trường biển và hải đảo,2015
334,96116,94/2015/qh13,luat,luật thi hành tạm giữ tạm giam,2015
335,95927,89/2015/qh13,luat,luật thống kê,2015
336,70803,79/2015/qh13,luat,luật thú y,2015
337,70821,76/2015/qh13,luat,luật tổ chức chính phủ,2015
338,70819,77/2015/qh13,luat,luật tổ chức chính quyền địa phương,2015
339,96121,99/2015/qh13,luat,luật tổ chức cơ quan điều tra hình sự,2015
340,96035,93/2015/qh13,luat,luật tố tụng hành chính,2015
341,96118,96/2015/qh13,luat,luật trưng cầu ý dân,2015
342,101872,103/2016/qh13,luat,luật báo chí,2016
343,121748,01/2016/qh14,luat,luật đấu giá tài sản,2016
344,101899,108/2016/qh13,luat,luật điều ước quốc tế,2016
345,101886,105/2016/qh13,luat,luật dược,2016
346,121546,03/2016/qh14,luat,"luật sửa đổi, bổ sung điều 6 và phụ lục 4 về danh mục ngành nghề đầu tư kinh doanh có điều kiện của luật đầu tư",2016
347,101890,106/2016/qh13,luat,"luật sửa đổi, bổ sung một số điều của luật thuế giá trị gia tăng, luật thuế tiêu thụ đặc biệt và luật quản lý thuế",2016
348,101897,107/2016/qh13,luat,luật thuế xuất khẩu thuế nhập khẩu,2016
349,101873,104/2016/qh13,luat,luật tiếp cận thông tin,2016
350,117201,02/2016/qh14,luat,luật tín ngưỡng tôn giáo,2016
351,101871,102/2016/qh13,luat,luật trẻ em,2016
352,124614,13/2017/qh14,luat,luật cảnh vệ,2017
353,123514,07/2017/qh14,luat,luật chuyển giao công nghệ,2017
354,129350,09/2017/qh14,luat,luật du lịch,2017
355,126171,06/2017/qh14,luat,luật đường sắt,2017
356,128706,04/2017/qh14,luat,luật hỗ trợ doanh nghiệp nhỏ và vừa,2017
357,126306,16/2017/qh14,luat,luật lâm nghiệp,2017
358,123028,05/2017/qh14,luat,luật quản lý ngoại thương,2017
359,126321,20/2017/qh14,luat,luật quản lý nợ công,2017
360,122988,15/2017/qh14,luat,luật quản lý sử dụng tài sản công,2017
361,124150,14/2017/qh14,luat,luật quản lý sử dụng vũ khí vật liệu nổ và công cụ hỗ trợ,2017
362,131014,21/2017/qh14,luat,luật quy hoạch,2017
363,122826,12/2017/qh14,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",2017
364,126820,17/2017/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật các tổ chức tín dụng",2017
365,128203,19/2017/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật cơ quan đại diện nước cộng hòa xã hội chủ nghĩa việt nam ở nước ngoài",2017
366,126723,08/2017/qh14,luat,luật thủy lợi,2017
367,126307,18/2017/qh14,luat,luật thủy sản,2017
368,122863,10/2017/qh14,luat,luật trách nhiệm bồi thường của nhà nước,2017
369,122827,11/2017/qh14,luat,luật trợ giúp pháp lý,2017
370,132957,24/2018/qh14,luat,luật an ninh mạng,2018
371,141824,29/2018/qh14,luat,luật bảo vệ bí mật nhà nước,2018
372,136051,33/2018/qh14,luat,luật cảnh sát biển việt nam,2018
373,133401,23/2018/qh14,luat,luật cạnh tranh,2018
374,137311,32/2018/qh14,luat,luật chăn nuôi,2018
375,137283,37/2018/qh14,luat,luật công an nhân dân,2018
376,141383,30/2018/qh14,luat,luật đặc xá,2018
377,133032,27/2018/qh14,luat,luật đo đạc và bản đồ,2018
378,137284,36/2018/qh14,luat,luật phòng chống tham nhũng,2018
379,132955,22/2018/qh14,luat,luật quốc phòng,2018
380,130821,28/2018/qh14,luat,"luật sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch",2018
381,132982,35/2018/qh14,luat,"luật sửa đổi, bổ sung một số điều của 37 luật có liên quan đến quy hoạch",2018
382,137459,34/2018/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật giáo dục đại học",2018
383,133028,26/2018/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật thể dục thể thao",2018
384,130780,25/2018/qh14,luat,luật tố cáo,2018
385,137312,31/2018/qh14,luat,luật trồng trọt,2018
386,135883,33/2018/qh14,luat,luật cảnh sát biển việt nam,2019
387,139885,54/2019/qh14,luat,luật chứng khoán,2019
388,139879,48/2019/qh14,luat,luật dân quân tự vệ,2019
389,136038,39/2019/qh14,luat,luật đầu tư công,2019
390,136042,43/2019/qh14,luat,luật giáo dục,2019
391,136039,40/2019/qh14,luat,luật kiến trúc,2019
392,139892,53/2019/qh14,luat,luật lực lượng dự bị động viên,2019
393,136043,44/2019/qh14,luat,luật phòng chống tác hại của rượu bia,2019
394,136036,38/2019/qh14,luat,luật quản lý thuế,2019
395,139884,52/2019/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật cán bộ công chức và luật viên chức",2019
396,139886,55/2019/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật kiểm toán nhà nước",2019
397,136041,42/2019/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật kinh doanh bảo hiểm luật sở hữu trí tuệ",2019
398,139883,51/2019/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật nhập cảnh xuất cảnh quá cảnh cư trú của người nước ngoài tại việt nam",2019
399,139882,50/2019/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật quản lý sử dụng vũ khí vật liệu nổ và công cụ hỗ trợ",2019
400,139878,47/2019/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức chính phủ và luật tổ chức chính quyền địa phương",2019
401,162690,41/2019/qh14,luat,luật thi hành án hình sự,2019
402,139877,46/2019/qh14,luat,luật thư viện,2019
403,139880,49/2019/qh14,luat,luật xuất cảnh nhập cảnh của công dân việt nam,2019
404,146609,72/2020/qh14,luat,luật bảo vệ môi trường,2020
405,146652,66/2020/qh14,luat,luật biên phòng việt nam,2020
406,146648,68/2020/qh14,luat,luật cư trú,2020
407,142867,61/2020/qh14,luat,luật đầu tư,2020
408,142882,64/2020/qh14,luat,luật đầu tư theo phương thức đối tác công tư,2020
409,142881,59/2020/qh14,luat,luật doanh nghiệp,2020
410,147588,58/2020/qh14,luat,luật hòa giải đối thoại tại tòa án,2020
411,146643,69/2020/qh14,luat,luật người lao động việt nam đi làm việc ở nước ngoài theo hợp đồng,2020
412,166391,63/2020/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật ban hành văn bản quy phạm pháp luật",2020
413,142852,56/2020/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật giám định tư pháp",2020
414,146632,71/2020/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật phòng chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (hiv/aids)",2020
415,153788,60/2020/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật phòng chống thiên tai và luật đê điều",2020
416,169441,65/2020/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức quốc hội",2020
417,144268,62/2020/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật xây dựng",2020
418,146541,67/2020/qh14,luat,"luật sửa đổi, bổ sung một số điều của luật xử lý vi phạm hành chính",2020
419,142850,57/2020/qh14,luat,luật thanh niên,2020
420,146640,70/2020/qh14,luat,luật thỏa thuận quốc tế,2020
421,152501,73/2021/qh14,luat,luật phòng chống ma túy,2021
422,153151,02/2021/qh15,luat,"luật sửa đổi, bổ sung một số điều của bộ luật tố tụng hình sự",2021
423,152571,01/2021/qh15,luat,"luật sửa đổi, bổ sung một số điều và phụ lục danh mục chỉ tiêu thống kê quốc gia của luật thống kê",2021
424,156829,04/2022/qh15,luat,luật cảnh sát cơ động,2022
425,161042,12/2022/qh15,luat,luật dầu khí,2022
426,158993,05/2022/qh15,luat,luật điện ảnh,2022
427,163515,08/2022/qh15,luat,luật kinh doanh bảo hiểm,2022
428,167755,13/2022/qh15,luat,luật phòng chống bạo lực gia đình,2022
429,157721,14/2022/qh15,luat,luật phòng chống rửa tiền,2022
430,152951,03/2022/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật đầu tư công luật đầu tư theo phương thức đối tác công tư luật đầu tư luật nhà ở luật đấu thầu luật điện lực luật doanh nghiệp luật thuế tiêu thụ đặc biệt và luật thi hành án dân sự",2022
431,157722,07/2022/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật sở hữu trí tuệ",2022
432,160606,09/2022/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật tần số vô tuyến điện",2022
433,170446,11/2022/qh15,luat,luật thanh tra,2022
434,168080,06/2022/qh15,luat,luật thi đua khen thưởng,2022
435,161986,10/2022/qh15,luat,luật thực hiện dân chủ ở cơ sở,2022
436,161263,19/2023/qh15,luat,luật bảo vệ quyền lợi người tiêu dùng,2023
437,165958,26/2023/qh15,luat,luật căn cước,2023
438,166581,22/2023/qh15,luat,luật đấu thầu,2023
439,167565,16/2023/qh15,luat,luật giá,2023
440,165913,20/2023/qh15,luat,luật giao dịch điện tử,2023
441,166269,17/2023/qh15,luat,luật hợp tác xã,2023
442,168125,15/2023/qh15,luat,luật khám bệnh chữa bệnh 2023,2023
443,169027,29/2023/qh15,luat,luật kinh doanh bất động sản,2023
444,168904,30/2023/qh15,luat,luật lực lượng tham gia bảo vệ an ninh trật tự ở cơ sở,2023
445,169032,27/2023/qh15,luat,luật nhà ở,2023
446,167216,18/2023/qh15,luat,luật phòng thủ dân sự,2023
447,167658,21/2023/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật công an nhân dân",2023
448,162469,23/2023/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật xuất cảnh nhập cảnh của công dân việt nam và luật nhập cảnh xuất cảnh quá cảnh cư trú của người nước ngoài tại việt nam",2023
449,167282,28/2023/qh15,luat,luật tài nguyên nước 2023,2023
450,165912,24/2023/qh15,luat,luật viễn thông,2023
451,169571,25/2023/qh15,luat,luật quản lý bảo vệ công trình quốc phòng và khu quân sự,2023
452,175027,41/2024/qh15,luat,luật bảo hiểm xã hội,2024
453,166170,32/2024/qh15,luat,luật các tổ chức tín dụng,2024
454,172799,46/2024/qh15,luat,luật công chứng,2024
455,172553,50/2024/qh15,luat,luật công đoàn,2024
456,172437,38/2024/qh15,luat,luật công nghiệp quốc phòng an ninh và động viên công nghiệp,2024
457,177815,31/2024/qh15,luat,luật đất đai,2024
458,174098,58/2024/qh15,luat,luật đầu tư công,2024
459,173024,45/2024/qh15,luat,luật di sản văn hóa,2024
460,174000,54/2024/qh15,luat,luật địa chất và khoáng sản,2024
461,173332,61/2024/qh15,luat,luật luật điện lực,2024
462,174877,60/2024/qh15,luat,luật dữ liệu,2024
463,175084,44/2024/qh15,luat,"luật sửa đổi, bổ sung một số điều của Luật Dược",2024
464,172475,35/2024/qh15,luat,luật đường bộ,2024
465,170517,33/2024/qh15,luat,luật lưu trữ,2024
466,173974,55/2024/qh15,luat,luật phòng cháy chữa cháy và cứu nạn cứu hộ,2024
467,173982,53/2024/qh15,luat,luật phòng chống mua bán người,2024
468,173624,49/2024/qh15,luat,luật phòng không nhân dân,2024
469,170609,42/2024/qh15,luat,luật quản lý sử dụng vũ khí vật liệu nổ và công cụ hỗ trợ,2024
470,172548,47/2024/qh15,luat,luật quy hoạch đô thị và nông thôn,2024
471,170622,40/2024/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật cảnh vệ",2024
472,173331,56/2024/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật chứng khoán luật kế toán luật kiểm toán độc lập luật ngân sách nhà nước luật quản lý sử dụng tài sản công luật quản lý thuế luật thuế thu nhập cá nhân luật dự trữ quốc gia luật xử lý vi phạm hành chính",2024
473,170509,43/2024/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật đất đai, luật nhà ở, luật kinh doanh bất động sản và luật các tổ chức tín dụng",2024
474,169991,37/2024/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật đấu giá tài sản",2024
475,173625,52/2024/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật sĩ quan quân đội nhân dân việt nam",2024
476,173404,57/2024/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật quy hoạch, luật đầu tư, luật đầu tư theo phương thức đối tác công tư và luật đấu thầu",2024
477,169990,39/2024/qh15,luat,luật thủ đô,2024
478,174917,48/2024/qh15,luat,luật thuế giá trị gia tăng,2024
479,170620,36/2024/qh15,luat,luật trật tự an toàn giao thông đường bộ,2024
480,175266,62/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức quốc hội",2025
481,175258,63/2025/qh15,luat,luật tổ chức chính phủ,2025
482,999999999649675,72/2025/qh15,luat,luật tổ chức chính quyền địa phương,2025
483,3274,không số,boluat,bộ luật hình sự,1985
484,2559,không số,boluat,bộ luật tố tụng hình sự,1988
485,2066,42-lct/hđnn8,boluat,bộ luật hàng hải,1990
486,10427,không số,boluat,bộ luật lao động,1994
487,9683,không số,boluat,bộ luật dân sự,1995
488,6157,15/1999/qh10,boluat,bộ luật hình sự,1999
489,19411,19/2003/qh11,boluat,bộ luật tố tụng hình sự,2003
490,19482,24/2004/qh11,boluat,bộ luật tố tụng dân sự,2004
491,18131,40/2005/qh11,boluat,bộ luật hàng hải việt nam,2005
492,18128,33/2005/qh11,boluat,bộ luật dân sự,2005
493,27615,10/2012/qh13,boluat,bộ luật lao động,2012
494,95942,91/2015/qh13,boluat,bộ luật dân sự,2015
495,96122,100/2015/qh13,boluat,bộ luật hình sự,2015
496,96115,92/2015/qh13,boluat,bộ luật tố tụng dân sự,2015
497,96172,101/2015/qh13,boluat,bộ luật tố tụng hình sự,2015
498,96117,95/2015/qh13,boluat,bộ luật hàng hải,2015
499,139264,45/2019/qh14,boluat,bộ luật lao động,2019
500,535,không số,hienphap,hiến pháp,1946
501,889,không số,hienphap,hiến pháp,1959
502,11234,không số,hienphap,hiến pháp,1992
503,22313,không số,hienphap,hiến pháp,2001
504,32801,không số,hienphap,hiến pháp,2013
505,999999999580434,34/2024/qh15,luat,luật tổ chức tòa án nhân dân,2024
506,175425,59/2024/qh15,luat,luật tư pháp người chưa thành niên,2024
