STT,doc_id,so_hieu,loai_van_ban,tieu_de,nam_ban_hanh
575,99999999938247,2/l-ctn,luat,luật tổ chức toà án nhân dân,1992
576,99999999938065,56-lct/hđnn8,luat,luật phổ cập giáo dục tiểu học,1991
577,99999999938064,57-lct/hđnn8,luat,"luật bảo vệ, chăm sóc và giáo dục trẻ em",1991
578,99999999938055,46-lct/hđnn8,luat,"luật sửa đổi, bổ sung một số điều của luật nghĩa vụ quân sự",1990
579,99999999938056,45-lct/hđnn8,luat,"luật sửa đổi, bổ sung một số điều của luật sỹ quan quân đội nhân dân việt nam",1990
580,99999999937680,12-lct/hđnn8,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức toà án nhân dân",1988
581,99999999937681,11-lct/hđnn8,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức viện kiểm sát nhân dân",1988
582,99999999937475,8-lct/hđnn8,luat,luật quốc tịch việt nam,1988
583,99999999937468,4-hđnn8,luat,luật đầu tư nước ngoài tại việt nam,1987
584,99999999937469,5-hđnn8,luat,luật thuế xuất khẩu thuế nhập khẩu hàng mậu dịch,1987
585,99999999937246,21-lct/hđnn7,luat,luật hôn nhân và gia đình,1986
586,99999999936991,13-lct/hđnn7,luat,luật bầu cử đại biểu hội đồng nhân dân,1983
587,99999999936949,250-lct,luat,luật bầu cử đại biểu quốc hội,1980
588,99999999936863,20/lct,luat,luật tổ chức viện kiểm sát nhân dân,1960
589,99999999936860,18/lct,luat,luật tổ chức hội đồng chính phủ,1960
590,99999999936861,17/lct,luat,luật tổ chức quốc hội,1960
591,99999999936858,11/sl,luat,luật nghĩa vụ quân sự,1960
592,99999999936862,19/lct,luat,luật tổ chức toà án nhân dân,1960
593,99999999936856,3/sl,luat,luật bầu cử đại biểu quốc hội,1959
594,99999999936857,2/sl,luat,luật hôn nhân và gia đình,1959
595,99999999936835,109-sl/l011,luat,luật chế độ phục vụ của sỹ quan quân đội nhân dân,1958
596,99999999936836,110-sl/l011,luat,luật tổ chức chính quyền địa phương,1958
597,99999999936821,108-sl/l.10,luat,luật công đoàn,1957
598,99999999936792,102-sl/l-004,luat,luật quyền lập hội,1957
599,99999999936793,101-sl/l.003,luat,luật quyền tự do hội họp,1957
600,99999999936795,103-sl/l.005,luat,"luật đảm bảo quyền tự do thân thể và quyền bất khả xâm phạm đối với nhà ở, đồ vật, thư tín của nhân dân",1957
601,99999999936743,197/sl,luat,luật cải cách ruộng đất,1953
602,99999999937474,7-lct/hđnn8,boluat,bộ luật tố tụng hình sự,1988
603,99999999938066,55-lct/hđnn8,luat,"bộ luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1991
604,99999999938461,4-l/ctn,luat,"bộ luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1992
605,99999999938462,5-l/ctn,luat,"bộ luật sửa đổi, bổ sung một số điều của bộ luật tố tụng hình sự",1992
606,99999999938702,35-l/ctn,boluat,bộ luật lao động,1994
607,99999999939391,44-l/ctn,boluat,bộ luật dân sự,1995
608,99999999938238,68-lct/hđnn8,hienphap,hiến pháp,1992
609,99999999941101,06/1997/qh10,luat,luật ngân hàng nhà nước,1997
610,99999999939622,47-l/ctn,luat,luật hợp tác xã,1996
611,99999999939623,47-l/ctn,luat,luật khoáng sản,1996
612,99999999939624,47-l/ctn,luat,luật khoáng sản,1996
613,99999999939099,39-l/ctn,luat,luật doanh nghiệp nhà nước,1995
614,99999999939100,39-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật hàng không dân dụng việt nam",1995
615,99999999938704,35-l/ctn,luat,luật khuyến khích đầu tư trong nước,1994
616,99999999938705,35-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật công ty",1994
617,99999999938706,35-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật doanh nghiệp tư nhân",1994
618,99999999938707,35-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật nghĩa vụ quân sự",1994
619,99999999938696,29-l/ctn,luat,luật bảo vệ môi trường,1993
620,99999999938694,29-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức toà án nhân dân",1993
621,99999999938481,24-l/ctn,luat,luật đất đai,1993
622,99999999938246,1/l-ctn,luat,luật tổ chức chính phủ,1992`
623,99999999938053,47-lct/hđnn8,luat,luật công ty,1990
624,99999999938054,48-lct/hđnn8,luat,luật doanh nghiệp tư nhân,1990
625,99999999937692,19-lct/hđnn8,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,1989
626,99999999937467,3-lct/hđnn8,luat,luật đất đai,1987
627,99999999936985,11-lct/hđnn7,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,1983
628,99999999936880,51/lct,luat,luật tổ chức hội đồng nhân dân và uỷ ban hành chính các cấp,1962
629,999999999662379,90/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật đấu thầu, luật thuế giá trị gia tăng, luật thuế xuất khẩu, luật thuế nhập khẩu, luật đầu tư, luật đầu tư công, luật quản lý",2025
630,999999999662377,86/2025/qh15,luat,luật sửa đổi bộ luật hình sự,2025
631,999999999650061,89/2025/qh15,luat,luật ngân sách nhà nước,2025
632,999999999621345,73/2025/qh15,luat,luật nhà giáo,2025
633,999999999659899,76/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật doanh nghiệp",2025
634,999999999621341,71/2025/qh15,luat,luật công nghiệp công nghệ số,2025
635,999999999660522,79/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật quốc tịch việt nam",2025
636,999999999660530,82/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức viện kiểm sát nhân dân",2025
637,999999999649688,80/2025/qh15,luat,luật cán bộ công chức,2025
638,999999999660533,81/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức tòa án nhân dân",2025
639,999999999555035,75/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật quảng cáo",2025
640,999999999659898,88/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật xử lý vi phạm hành chính",2025
641,999999999651570,85/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của bộ luật tố tụng dân sự, luật tố tụng hành chính",2025
642,999999999663709,97/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật mặt trận tổ quốc việt nam, luật công đoàn, luật thanh niên và luật thực hiện dân chủ ở cơ sở",2025
643,999999999663780,83/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật bầu cử đại biểu quốc hội và đại biểu hội đồng nhân dân",2025
644,99999999936969,6-lct/hđnn7,luat,luật nghĩa vụ quân sự,1981
645,99999999937895,270b-nq/hđnn8,luat,luật thuế doanh thu,1990
646,99999999937896,270b-nq/hđnn8,luat,"luật công bố và thi hành luật thuế doanh thu, luật thuế tiêu thụ đặc biệt và luật thuế lợi tức",1990
647,99999999940086,52-l/ctn,luat,luật ban hành văn bản quy phạm pháp luật,1996
648,99999999948837,30/2001/qh10,luat,luật tổ chức quốc hội,2001
649,999999999625628,91/2025/qh15,luat,luật bảo vệ dữ liệu cá nhân,2025
650,999999999530912,74/2025/qh15,luat,luật việc làm,2025
651,999999999578018,68/2025/qh15,luat,luật quản lý và đầu tư vốn nhà nước tại doanh nghiệp,2025
652,999999999580121,70/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật tiêu chuẩn và quy chuẩn kỹ thuật",2025
653,999999999580594,67/2025/qh15,luat,luật thuế thu nhập doanh nghiệp,2025
654,999999999581164,93/2025/qh15,luat,"luật khoa học, công nghệ và đổi mới sáng tạo",2025
655,999999999603983,69/2025/qh15,luat,luật hóa chất,2025
656,999999999621225,66/2025/qh15,luat,luật thuế tiêu thụ đặc biệt,2025
657,999999999622480,95/2025/qh15,luat,luật đường sắt,2025
658,999999999643029,77/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật sử dụng năng lượng tiết kiệm và hiệu quả",2025
659,999999999643689,94/2025/qh15,luat,luật năng lượng nguyên tử,2025
660,999999999648594,96/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật các tổ chức tín dụng",2025
661,999999999655378,84/2025/qh15,luat,luật thanh tra,2025
662,999999999623226,78/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật chất lượng sản phẩm hàng hoá",2025
663,999999999659897,92/2025/qh15,luat,luật tham gia lực lượng gìn giữ hòa bình của liên hợp quốc,2025
664,999999999662116,98/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của 11 luật về quân sự, quốc phòng",2025
665,99999999981043,không số,luat,luật về trọng tài thương mại quốc tế của ủy ban liên hiệp quốc về luật thương mại quốc tế,1985
666,999999999581548,126/2025/qh15,luat,luật báo chí,2025
667,999999999586814,112/2025/qh15,luat,luật quy hoạch,2025
668,999999999628717,106/2025/qh15,luat,luật thi hành án dân sự,2025
669,999999999633465,104/2025/qh15,luat,luật tình trạng khẩn cấp,2025
670,999999999663779,125/2025/qh15,luat,luật dự thảo giáo dục đại học,2025
671,999999999665870,109/2025/qh15,luat,luật thuế thu nhập cá nhân,2025
672,999999999666019,120/2025/qh15,luat,"luật phòng, chống ma túy",2025
673,999999999666020,116/2025/qh15,luat,luật an ninh mạng,2025
674,999999999667661,105/2025/qh15,luat,luật giám định tư pháp,2025
675,999999999667663,111/2025/qh15,luat,luật bảo hiểm tiền gửi,2025
676,999999999675211,133/2025/qh15,luat,luật công nghệ cao,2025
677,999999999675213,135/2025/qh15,luat,luật xây dựng,2025
678,999999999675262,148/2025/qh15,luat,luật chuyển đổi số,2025
679,999999999675264,115/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật chuyển giao công nghệ",2025
680,999999999675268,108/2025/qh15,luat,luật quản lý thuế,2025
681,999999999679013,134/2025/qh15,luat,luật trí tuệ nhân tạo,2025
682,999999999679014,128/2025/qh15,luat,"luật thi hành tạm giữ, tạm giam và cấm đi khỏi nơi cư trú",2025
683,999999999681550,143/2025/qh15,luat,luật đầu tư,2025
684,999999999682798,118/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của 10 luật có liên quan đến an ninh, trật tự",2025
685,999999999684512,139/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật kinh doanh bảo hiểm",2025
686,999999999684669,145/2025/qh15,luat,luật dự trữ quốc gia,2025
687,999999999685733,132/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật phòng, chống tham nhũng",2025
688,999999999685866,117/2025/qh15,luat,luật bảo vệ bí mật nhà nước,2025
689,999999999685933,119/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật công nghiệp quốc phòng an ninh và động viên công nghiệp",2025
690,999999999686325,127/2025/qh15,luat,luật thi hành án hình sự,2025
691,999999999686527,138/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật thống kê",2025
692,999999999686550,141/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật quản lý nợ công",2025
693,999999999686937,136/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật tiếp công dân, luật khiếu nại, luật tố cáo",2025
694,535,không số,hienphap,hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam,1946
695,889,không số,hienphap,hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam,1959
696,11234,không số,hienphap,hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam,1992
697,22313,không số,hienphap,hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam,2001
698,32801,không số,hienphap,hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam,2013
699,1534,không số,hienphap,hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam,1980
700,99999999938238,68-lct/hđnn8,hienphap,hiến pháp nước cộng hòa xã hội chủ nghĩa việt nam,1992
701,999999999346850,107/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật lý lịch tư pháp",2025
702,999999999689140,121/2025/qh15,luat,luật hoạt động giám sát của quốc hội và hội đồng nhân dân,2025
703,999999999689370,113/2025/qh15,luat,luật dân số,2025
704,999999999689413,123/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật giáo dục",2025
705,999999999690978,114/2025/qh15,luat,luật phòng bệnh,2025
706,999999999675210,142/2025/qh15,luat,"luật phục hồi, phá sản",2025
707,999999999624015,102/2025/qh15,luat,luật tương trợ tư pháp về dân sự,2025
708,999999999686537,101/2025/qh15,luat,luật chuyển giao người đang chấp hành án phạt tù,2025
709,999999999686538,103/2025/qh15,luat,luật tương trợ tư pháp về hình sự,2025
710,999999999688908,100/2025/qh15,luat,"luật quy định phân công quản lý nhà nước về vật tư nông nghiệp, an toàn thực phẩm nông, lâm, thủy sản và muối thuộc phạm vi quản lý nghành nông nghiệp và phát triển nông thôn trên địa bàn tỉnh hòa bình do tỉnh phú thọ ban hành",2025
711,999999999581160,110/2025/qh15,luat,"luật thực hành tiết kiệm, chống lãng phí",2025
712,999999999662035,122/2025/qh15,luat,luật thương mại điện tử,2025
713,999999999675261,129/2025/qh15,luat,luật viên chức,2025
714,999999999675263,140/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật giá",2025
715,999999999675267,131/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật sở hữu trí tuệ",2025
716,999999999686549,137/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật điều ước quốc tế",2025
717,999999999687560,124/2025/qh15,luat,luật giáo dục nghề nghiệp,2025
718,999999999687674,130/2025/qh15,luat,luật hàng không dân dụng việt nam,2025
719,139880,49/2019/qh14,luat,"luật xuất cảnh, nhập cảnh của công dân việt nam",2019
720,999999999675259,146/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của 15 luật trong lĩnh vực nông nghiệp và môi trường",2025
721,999999999675265,147/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật địa chất và khoáng sản",2025
722,999999999679698,149/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật thuế giá trị gia tăng",2025
723,999999999681012,04/2026/qh16,luat,"luật sửa đổi, bổ sung một số điều của luật công chứng",2026
724,999999999694806,03/2026/qh16,luat,luật hộ tịch,2026
725,999999999703956,09/2026/qh16,luat,"luật sửa đổi, bổ sung một số điều của luật thuế thu nhập cá nhân, luật thuế giá trị gia tăng, luật thuế thu nhập doanh nghiệp và luật thuế tiêu thụ đặc biệt",2026
726,999999999704653,06/2026/qh16,luat,"luật sửa đổi, bố sung một số điều của luật thi đua, khen thưởng",2026
727,999999999704788,01/2026/qh16,luat,luật tiếp cận thông tin,2026
728,999999999704791,07/2026/qh16,luat,"luật tín ngưỡng, tôn giáo",2026
729,999999999704792,05/2026/qh16,luat,"luật sửa đổi, bổ sung một số điều của luật trợ giúp pháp lý",2026
730,999999999704810,8/2026/qh16,luat,"luật sửa đổi, bổ sung một số điều của luật cơ quan đại diện nước cộng hòa xã hội chủ nghĩa việt nam ở nước ngoài",2026
731,999999999706740,02/2026/qh16,luat,"luật law no. 02/2026/qh16 dated april 23,",2026
